epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1104.07,0.47279,0.41767,0.97802,0.93863,0.862,0.90647,0.7418,0.65956,0.58445,1.13602,0.0011719,0.0011719,0.0011719
62,1121.35,0.45879,0.42191,0.97083,0.92479,0.88435,0.93047,0.76944,0.61877,0.55444,1.09869,0.00116365,0.00116365,0.00116365
63,1139.5,0.45841,0.41352,0.97561,0.94198,0.88389,0.92238,0.73308,0.72154,0.56045,1.17714,0.0011554,0.0011554,0.0011554
64,1156.83,0.46003,0.41333,0.977,0.9266,0.85993,0.91167,0.7373,0.67909,0.60508,1.1706,0.00114715,0.00114715,0.00114715
65,1174.19,0.45277,0.41564,0.96912,0.9124,0.88802,0.91233,0.7429,0.67628,0.62285,1.15448,0.00113889,0.00113889,0.00113889
66,1192.47,0.46352,0.41331,0.97187,0.93308,0.86611,0.9295,0.75241,0.64952,0.57346,1.10219,0.00113064,0.00113064,0.00113064
67,1209.76,0.44613,0.40877,0.96689,0.96159,0.87824,0.9275,0.7737,0.59611,0.5301,1.07191,0.00112239,0.00112239,0.00112239
68,1227.03,0.46171,0.40629,0.96907,0.94906,0.85044,0.90265,0.75751,0.63354,0.56345,1.12252,0.00111414,0.00111414,0.00111414
69,1245.66,0.44346,0.39807,0.97124,0.92254,0.89041,0.91454,0.75158,0.69005,0.59597,1.19289,0.00110589,0.00110589,0.00110589
70,1263.25,0.44001,0.38756,0.96273,0.93531,0.86315,0.91204,0.76238,0.65103,0.58053,1.1318,0.00109764,0.00109764,0.00109764
71,1281.41,0.44531,0.38927,0.96905,0.92639,0.87293,0.89634,0.72658,0.70488,0.56616,1.1676,0.00108938,0.00108938,0.00108938
72,1299.28,0.44295,0.39768,0.96944,0.94955,0.87424,0.92454,0.76646,0.63226,0.54824,1.11299,0.00108113,0.00108113,0.00108113
73,1316.75,0.44964,0.39217,0.97158,0.94681,0.86234,0.89091,0.72012,0.71454,0.60236,1.18809,0.00107288,0.00107288,0.00107288
74,1335.15,0.43791,0.38878,0.96503,0.95465,0.87569,0.91557,0.75492,0.64988,0.58577,1.14412,0.00106463,0.00106463,0.00106463
75,1352.81,0.44157,0.38997,0.96143,0.94664,0.83884,0.90113,0.72191,0.70465,0.57639,1.18718,0.00105638,0.00105638,0.00105638
